title:,author,length
Elfslayer,Nathan Long,Length: 11 hrs and 33 mins
In for the Kill,Ed James,Length: 10 hrs and 50 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
Drudge Match,Matthew A. Goodwin,Length: 4 hrs and 43 mins
The Plight Before Christmas,Kate Stewart,Length: 10 hrs and 53 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
Hábitos atómicos,James Clear,Length: 9 hrs and 1 min
At the End of It All,Rae Lyse,Length: 14 hrs and 31 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
Flat Lake in Winter,Joseph T. Klempner,Length: 9 hrs and 10 mins
"Bright Lights, Big Christmas",Mary Kay Andrews,Length: 8 hrs and 8 mins
Be Useful,Arnold Schwarzenegger,Length: 6 hrs and 19 mins
The Blood Witch,Chandelle LaVaun,Length: 12 hrs and 33 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
The Mad Mick Box Set Volume 1,Franklin Horton,Length: 26 hrs and 23 mins
The Titan of Baleros,pirateaba,Length: 40 hrs and 55 mins
All-Night Pharmacy,Ruth Madievsky,Length: 8 hrs
Motivational Interviewing,"William R. Miller PhD,Stephen Rollnick PhD",Length: 9 hrs and 35 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Oath and Honor,Liz Cheney,Length: 12 hrs and 14 mins
The Woman in Me,Britney Spears,Length: 5 hrs and 31 mins
Wicked Heart,Ivy Layne,Length: 12 hrs and 5 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Mr. Monroe,Raylin Marks,Length: 15 hrs and 31 mins
The Sinful King,Claire Contreras,Length: 7 hrs and 17 mins
Sons of Valor III: War Machine,"Brian Andrews,Jeffrey Wilson",Length: 11 hrs and 28 mins
The Most Bizarre True Crime Stories Ever Told,Jack Rosewood,Length: 4 hrs and 30 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
No Game for Knights,"Larry Correia,Kacey Ezell - editor",Length: 13 hrs and 20 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
Murtagh,Christopher Paolini,Length: 24 hrs and 32 mins
Lost Child,Torey Hayden,Length: 8 hrs and 47 mins
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Star Wars: The Eye of Darkness (The High Republic),George Mann,Length: 15 hrs and 22 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Third Eye,Felicia Day,Length: 6 hrs and 56 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
C. S. Lewis Essential Audio Library,C. S. Lewis,Length: 38 hrs and 50 mins
The Dragon Reborn,Robert Jordan,Length: 24 hrs and 48 mins
Mother-Daughter Murder Night,Nina Simon,Length: 12 hrs and 38 mins
Silver Magi Omnibus Books 1-4,D. Levesque,Length: 29 hrs
Alastair,Jaclyn Osborn,Length: 14 hrs and 59 mins
Things We Left Behind,Lucy Score,Length: 19 hrs and 14 mins
Tokens and Towers Box Sex,Harmon Cooper,Length: 35 hrs and 20 mins
The Ballad of Songbirds and Snakes,Suzanne Collins,Length: 16 hrs and 16 mins
The Dark Tower I,Stephen King,Length: 7 hrs and 20 mins
The Eye of the World,Robert Jordan,Length: 29 hrs and 57 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
The Nightmare at Manhattan Beach,D.D. Black,Length: 6 hrs
Forbidden Desires: The Complete Series,Kendall Ryan,Length: 22 hrs and 25 mins
Fire and Song,Bryce O'Connor,Length: 32 hrs and 37 mins
Broken Bride: The Complete Series,Stella Gray,Length: 17 hrs and 51 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 25 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Murder at the Polo Club,C.J. Archer,Length: 7 hrs and 50 mins
Road to Mastery 2,Valerios,Length: 36 hrs and 21 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 27 mins
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins
Alex Cross Must Die,James Patterson,Length: 8 hrs and 52 mins
Chasing Us,Kat T. Masen,Length: 12 hrs and 12 mins
A Court of Silver Flames (2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs and 33 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
"Elemental Summoner, Books 4-6",D. Levesque,Length: 24 hrs and 52 mins
Yuletide Punch,"Shayne Silvers,Cameron O'Connell",Length: 5 hrs and 43 mins
A Beast as Dark as Night,Jennifer Kropf,Length: 8 hrs and 13 mins
Real Fake Husband,Jolie Day,Length: 9 hrs and 43 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
Cinder,Chelle Bliss,Length: 7 hrs
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
The Boys of Winter,Wayne Coffey,Length: 8 hrs and 38 mins
Renegade Ravager: Havoc,M.E. Thorne,Length: 10 hrs and 49 mins
Charm,Tracy Wolff,Length: 18 hrs and 45 mins
"Aliens, Atlantis and the Illuminati: The New America",Thomas Bodine,Length: 1 hr and 2 mins
The Armor of Light,Ken Follett,Length: 21 hrs and 39 mins
Take Control of Your Life,Mel Robbins,Length: 10 hrs and 3 mins
Mushoku Tensei,Rifujin na Magonote,Length: 8 hrs and 3 mins
By the Light of the Moon,Dean Koontz,Length: 13 hrs and 24 mins
Secret Mafia Daddy,Kira Cole,Length: 6 hrs and 9 mins
The Twelve Dates of Christmas,Jenny Bayliss,Length: 10 hrs and 24 mins
Cook County ICU,Cory Franklin MD,Length: 7 hrs and 3 mins
The Classical Music Book,DK,Length: 15 hrs and 58 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 18 hrs and 55 mins
The Love Infinite Mixtape,Alexandria House,Length: 57 mins
Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 4,Rifujin na Magonote,Length: 7 hrs and 30 mins
Beautiful Chains,Anna Zaires,Length: 5 hrs and 57 mins
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
The Body Keeps the Score,Bessel A. van der Kolk,Length: 16 hrs and 15 mins
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
Silva Mind Control Method,Clarissa Fletcher,Length: 4 hrs and 58 mins
Law of Consequences,David Burke,Length: 8 hrs and 6 mins
The Graham Effect,Elle Kennedy,Length: 14 hrs and 3 mins
Bexley's Biker,Misty Walker,Length: 8 hrs and 15 mins
All the Hidden Paths,Foz Meadows,Length: 19 hrs and 27 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
Steel 7,Stephanie Brother,Length: 7 hrs and 20 mins
The Trackers Series Box Set,Nicholas Sansbury Smith,Length: 33 hrs and 59 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
White Horse Black Nights,Evie Marceau,Length: 11 hrs and 41 mins
Induction,Sean Oswald,Length: 12 hrs and 20 mins
Butterfly 5,Ashley Antoinette,Length: 12 hrs and 19 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Sgt. Thor the Cunning,"Jason Anspach,Nick Cole",Length: 16 hrs and 7 mins
Feel-Good Productivity,Ali Abdaal,Length: 5 hrs and 31 mins
Haven: The Complete Series,Misty Vixen,Length: 55 hrs and 40 mins
Flirting with Monsters,Eva Chase,Length: 32 hrs and 13 mins
Dr. Fake Fiancé,Louise Bay,Length: 8 hrs and 26 mins
Broken Arrow,Chelle Bliss,Length: 7 hrs and 19 mins
Reborn as a Demonic Tree,Xkarnation,Length: 21 hrs and 23 mins
Love the Way You Spy,Lexi Blake,Length: 14 hrs and 32 mins
Redeeming Love,Francine Rivers,Length: 17 hrs and 17 mins
Your Next Five Moves,Patrick Bet-David,Length: 8 hrs and 6 mins
The Holy Grail of Investing,"Tony Robbins,Christopher Zook",Length: 12 hrs
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
Steel 7,Stephanie Brother,Length: 7 hrs and 20 mins
The Trackers Series Box Set,Nicholas Sansbury Smith,Length: 33 hrs and 59 mins
The Psychology of Money,Morgan Housel,Length: 5 hrs and 48 mins
White Horse Black Nights,Evie Marceau,Length: 11 hrs and 41 mins
Induction,Sean Oswald,Length: 12 hrs and 20 mins
Butterfly 5,Ashley Antoinette,Length: 12 hrs and 19 mins
The Power of Now,Eckhart Tolle,Length: 7 hrs and 37 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Sgt. Thor the Cunning,"Jason Anspach,Nick Cole",Length: 16 hrs and 7 mins
Feel-Good Productivity,Ali Abdaal,Length: 5 hrs and 31 mins
Haven: The Complete Series,Misty Vixen,Length: 55 hrs and 40 mins
Flirting with Monsters,Eva Chase,Length: 32 hrs and 13 mins
Dr. Fake Fiancé,Louise Bay,Length: 8 hrs and 26 mins
Broken Arrow,Chelle Bliss,Length: 7 hrs and 19 mins
Reborn as a Demonic Tree,Xkarnation,Length: 21 hrs and 23 mins
Love the Way You Spy,Lexi Blake,Length: 14 hrs and 32 mins
Redeeming Love,Francine Rivers,Length: 17 hrs and 17 mins
Your Next Five Moves,Patrick Bet-David,Length: 8 hrs and 6 mins
The Holy Grail of Investing,"Tony Robbins,Christopher Zook",Length: 12 hrs
title:,author,length,user-agent
Blood Pact,Dan Abnett,Length: 10 hrs and 55 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Don't Make It Weird,Colleen Nichols,Length: 4 hrs and 6 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
A Wreath of Red Roses,Karen Baugh Menuhin,Length: 8 hrs and 44 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Prophet Song,Paul Lynch,Length: 8 hrs and 32 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Another Girl,Peter Grainger,Length: 9 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Azarinth Healer, Book Three",Rhaegar,Length: 29 hrs and 23 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Sable Peak,Devney Perry,Length: 9 hrs and 43 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Caught Sleeping,Jen Lyon,Length: 10 hrs and 1 min,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"The False Hero, Volume 8",Michael Plymel,Length: 10 hrs and 13 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Where Have All the Heroes Gone?,Jeff Tiegs,Length: 9 hrs and 11 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Fall for You,Felice Stevens,Length: 7 hrs and 27 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Finally Forever,Nadia Lee,Length: 11 hrs and 45 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Blue Core, Book Three",InadvisablyCompelled,Length: 28 hrs and 54 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Matrimonial Merriment,Nicky James,Length: 10 hrs and 19 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Vow Maker,Lily Morton,Length: 3 hrs and 6 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
In Your Wildest Dreams,Rebecca Jenshak,Length: 8 hrs and 32 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Last Licks,M.R. Forbes,Length: 10 hrs and 35 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Their Lost Souls,Roger Stelljes,Length: 13 hrs and 32 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Tangled in Tinsel,Trilina Pucci,Length: 7 hrs and 16 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Sylver Seeker 2,Kennit Kenway,Length: 22 hrs and 56 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Bonds of Blood,Nazri Noor,Length: 4 hrs and 21 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Faking with Benefits,Lily Gold,Length: 13 hrs and 34 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Dirty Truths,Brittanee Nicole,Length: 8 hrs and 34 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Winter Lost,Patricia Briggs,Length: 11 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Rise of the Weakest Healer,Blake Alexander,Length: 10 hrs and 8 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Discovering Daniel,"Amir Tsarfati,Rick Yohn - contributor",Length: 6 hrs and 13 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
It's Gonna Be a Good Day,Jordan Ferrone,Length: 3 hrs and 32 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
The Accidental Superpower,Mr. Peter Zeihan,Length: 13 hrs and 55 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
MeatEater's American History: The Long Hunters (1761-1775),Steven Rinella,Length: 5 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 14 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Red Sky Mourning,Jack Carr,Length: 15 hrs and 30 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Apocalypse Tamer 4,Maxime J. Durand,Length: 16 hrs and 41 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Thunderplump,Dakota Krout,Length: 12 hrs and 13 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Defiant,Brandon Sanderson,Length: 13 hrs and 49 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Aftermath,Craig Alanson,Length: 19 hrs and 4 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Witchbringer,Steven B Fischer,Length: 9 hrs and 33 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Finding the Road to Us,Carrie Ann Ryan,Length: 6 hrs and 38 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
The New Leviathans,John Gray,Length: 7 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Money Shot,Heather Long,Length: 10 hrs and 12 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
State of Bliss,Marie Force,Length: 10 hrs and 17 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
House of Flame and Shadow,Sarah J. Maas,Length: Not Yet Known,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
You Like It Darker,Stephen King,Length: 20 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 8 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Dead Reckoning,Joshua Dalzelle,Length: 8 hrs and 26 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Defiance of the Fall 11,"TheFirstDefier,JF Brink",Length: 24 hrs and 47 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
School of Magical Arts: Complete Novella Series,Chandelle LaVaun,Length: 18 hrs and 13 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Born of Blood and Ash,Jennifer L. Armentrout,Length: 24 hrs,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
The King's Ransom,Janet Evanovich,Length: 7 hrs and 30 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Illegal Contact,"Neve Wilder,Riley Hart",Length: 6 hrs and 45 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
3:53 a.m.,Nick Pirog,Length: 5 hrs and 56 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Rich AF,Vivian Tu,Length: 8 hrs and 5 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
The Miracle Morning (Updated and Expanded Edition),Hal Elrod,Length: 7 hrs and 22 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
The Lost Portal,Vaughn Heppner,Length: 12 hrs and 43 mins,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; Valve Steam GameOverlay/1702079146) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
